x,y,z,T,solid
0.069008603,0.076140391,0.0,307.09702,1.0
0.069008603,0.076564498,0.0,307.09708,1.0
0.069008603,0.076988604,0.0,307.09714,1.0
0.069008603,0.077412711,0.0,307.09721,1.0
0.069434197,0.070202898,0.0,307.09654,1.0
0.069434197,0.070627005,0.0,307.09654,1.0
0.069434197,0.071051112,0.0,307.09655,1.0
0.069434197,0.071475218,0.0,307.09657,1.0
0.069434197,0.071899325,0.0,307.09659,1.0
0.069434197,0.072323431,0.0,307.09662,1.0
0.069434197,0.072747538,0.0,307.09665,1.0
0.069434197,0.073171645,0.0,307.09668,1.0
0.069434197,0.073595751,0.0,307.09672,1.0
0.069434197,0.074019858,0.0,307.09677,1.0
0.069434197,0.074443965,0.0,307.09682,1.0
0.069434197,0.074868071,0.0,307.09687,1.0
0.069434197,0.075292178,0.0,307.09692,1.0
0.069434197,0.075716284,0.0,307.09698,1.0
0.069434197,0.076140391,0.0,307.09704,1.0
0.069434197,0.076564498,0.0,307.09711,1.0
0.069434197,0.076988604,0.0,307.09717,1.0
0.069434197,0.077412711,0.0,307.09724,1.0
0.069859791,0.070202898,0.0,307.09656,1.0
0.069859791,0.070627005,0.0,307.09657,1.0
0.069859791,0.071051112,0.0,307.09658,1.0
0.069859791,0.071475218,0.0,307.09659,1.0
0.069859791,0.071899325,0.0,307.09662,1.0
0.069859791,0.072323431,0.0,307.09664,1.0
0.069859791,0.072747538,0.0,307.09667,1.0
0.069859791,0.073171645,0.0,307.09671,1.0
0.069859791,0.073595751,0.0,307.09675,1.0
0.069859791,0.074019858,0.0,307.09679,1.0
0.069859791,0.074443965,0.0,307.09684,1.0
0.069859791,0.074868071,0.0,307.09689,1.0
0.069859791,0.075292178,0.0,307.09695,1.0
0.069859791,0.075716284,0.0,307.09701,1.0
0.069859791,0.076140391,0.0,307.09707,1.0
0.069859791,0.076564498,0.0,307.09713,1.0
0.069859791,0.076988604,0.0,307.0972,1.0
0.069859791,0.077412711,0.0,307.09726,1.0
0.070285384,0.071475218,0.0,307.09662,1.0
0.070285384,0.071899325,0.0,307.09664,1.0
0.070285384,0.072323431,0.0,307.09667,1.0
0.070285384,0.072747538,0.0,307.0967,1.0
0.070285384,0.073171645,0.0,307.09673,1.0
0.070285384,0.073595751,0.0,307.09677,1.0
0.070285384,0.074019858,0.0,307.09682,1.0
0.070285384,0.074443965,0.0,307.09687,1.0
